Letter,Tot. SSE,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,"['A', 'H']","['B', 'K', 'P', 'R']","['C', 'D', 'G', 'O', 'Q']","['E', 'F', 'L']","['I', 'J', 'T']","['M', 'N']","['U', 'V', 'Y']","['W', 'X']","['S', 'Z']",,,,,,,,,,,,,,,,,
'D',0.005557157,0.015148076,0.747332925,0.964574228,0.747970917,0.00094191,0.009990121,0.994741613,0.076402651,0.542588891,0.935788248,2.06E-06,0.026122755,1.09E-05,0.946673126,2.77E-05,3.45E-06,0.006670613,2.37E-05,0.001808849,0.004682251,0.004904113,5.31E-07,3.11E-05,0.000431405,0.037002729,1.97E-05,5.66E-05,0.001127771,0.000418065,8.05E-05,0.021674201,2.42E-06,0.00473556,0.003405958,0.000547784,0.007894034
'D',0.005557157,0.015148076,0.747332925,0.964574228,0.747970917,0.00094191,0.009990121,0.994741613,0.076402651,0.542588891,0.935788248,2.06E-06,0.026122755,1.09E-05,0.946673126,2.77E-05,3.45E-06,0.006670613,2.37E-05,0.001808849,0.004682251,0.004904113,5.31E-07,3.11E-05,0.000431405,0.037002729,1.97E-05,5.66E-05,0.001127771,0.000418065,8.05E-05,0.021674201,2.42E-06,0.00473556,0.003405958,0.000547784,0.007894034
'E',0.101710676,0.188352497,0.145100329,0.999578257,0.066426729,0.441955683,0.039019248,0.03364454,0.895975,0.657895752,0.000393347,6.47E-05,0.001113912,0.025195055,0.013137111,0.770385292,0.214326224,0.000262931,0.017726777,2.95E-05,0.000313112,0.017999309,0.007052302,0.017304277,0.000295204,0.000604738,0.000115163,0.000897447,0.025659438,0.008557135,0.010551834,2.97E-06,0.000105014,0.009378876,0.017651445,0.000155549,0.003470068
'E',0.006986795,0.894394804,0.028592137,0.952994951,0.004242674,0.946274208,0.009814406,0.13524231,0.954829059,0.857644731,0.001053645,0.005700326,1.33E-05,0.014344447,2.63E-05,0.947975865,0.021891345,4.86E-06,0.020030925,3.01E-06,3.59E-06,0.001089982,0.052177452,0.003065832,4.51E-05,3.46E-05,7.96E-06,1.40E-05,0.016545231,0.000297958,0.00851575,4.15E-07,0.000126318,0.007373531,0.005249708,9.26E-06,0.000429643
'E',0.108665369,0.174355763,0.15854673,0.999591387,0.064681989,0.466606119,0.038575303,0.036166131,0.895445813,0.638923845,0.000387128,5.92E-05,0.001108241,0.023830009,0.012832333,0.760787606,0.220517951,0.00023894,0.014449144,3.41E-05,0.000343972,0.016461096,0.00653825,0.016634888,0.000335618,0.00052919,0.000125166,0.000898848,0.026664604,0.010842689,0.011200597,3.01E-06,0.000115795,0.009578506,0.014816375,0.000141875,0.003864094
'F',1.138116937,0.164462089,0.145062743,0.999635104,0.074513958,0.45014684,0.049468866,0.036854015,0.888710457,0.608700549,0.000424019,5.76E-05,0.001157413,0.022686433,0.014655543,0.745615767,0.238872585,0.000281816,0.015796056,4.09E-05,0.000449074,0.017045701,0.005653673,0.016652279,0.000374056,0.000587963,0.000151544,0.001057151,0.024068809,0.011029508,0.012766967,3.48E-06,0.000122869,0.011373561,0.016477142,0.000154724,0.003497388
'F',0.03925898,0.165249549,0.03610664,0.999817996,0.03133241,0.972304768,0.876413398,0.013182439,0.92424836,0.494752324,0.008412594,7.90E-05,2.89E-05,0.002497647,0.000271375,0.102592245,0.837286508,6.99E-05,0.019283363,2.00E-05,0.004787893,0.00031339,0.000230941,0.018919674,0.000125003,4.95E-06,0.031565048,0.021236571,0.001026573,0.001427165,0.004782787,3.76E-08,0.004252745,0.00258801,0.000804029,9.44E-05,0.000405493
'F',1.091069553,0.139956238,0.144435529,0.999657195,0.07568077,0.463437624,0.053031918,0.045937281,0.875746431,0.585521706,0.000435365,5.54E-05,0.001230727,0.02213397,0.01576493,0.723794366,0.248807809,0.000301821,0.01392012,5.11E-05,0.000555085,0.016053773,0.004645469,0.016067602,0.000439517,0.000595639,0.000192799,0.001123809,0.026419801,0.013381776,0.012621395,3.66E-06,0.000133478,0.012410885,0.014941352,0.000144595,0.003796672
'G',0.632601196,0.134186441,0.21867723,0.051796557,0.147992946,0.003461699,0.096710234,0.998769047,0.097210584,0.673104253,0.068144176,0.020503236,0.039146601,0.143408116,0.005532466,0.000484862,6.35E-05,0.363795998,0.012381827,0.004523578,0.000207916,0.00322985,0.003637057,0.000434741,0.001332662,0.452229211,0.002669006,0.009362437,0.016184758,0.00386468,1.37E-05,0.014144934,0.001116271,0.0009174,0.00018687,0.001332255,0.003122828
'G',0.017222591,0.006076218,0.282994086,0.002967259,0.909858475,0.004358375,0.889998676,0.99975072,0.000835967,0.95795234,0.020986071,0.014483192,0.001430253,0.030257555,0.00901698,7.04E-07,0.000109997,0.89911289,0.008690245,0.015056559,0.008835904,0.02617851,6.79E-05,0.000922083,1.04E-05,0.040722575,0.03196385,0.042981705,0.000155323,5.93E-05,6.51E-06,0.001083499,0.000986598,1.56E-06,5.50E-05,0.015479118,0.000222457
'G',1.227046797,0.031691968,0.038458797,0.152708691,0.117607976,0.061138215,0.000133679,0.994459749,0.068666269,0.385157803,0.445867165,0.008135879,0.011117858,0.029129199,0.039490201,0.000577656,6.02E-05,0.186671549,0.003655503,0.016420838,0.000974756,0.000414366,0.000282911,0.000988613,0.031830282,0.748348272,0.002966185,0.006786239,0.019316015,0.002310451,3.26E-05,0.024225981,0.000392588,0.023907622,0.001706411,0.000888263,0.005137091
'H',0.001899512,0.991411129,0.013207169,0.968296919,0.005925683,0.165984961,0.998008318,0.279235823,0.000452508,0.947080551,0.000717277,0.017894348,0.006175217,7.40E-05,2.54E-05,0.005500132,0.007456799,0.004886329,0.977979764,5.79E-07,0.000360515,0.005922857,0.000493794,6.65E-05,5.96E-08,0.000384363,0.017181957,0.000915234,0.000441224,2.78E-07,2.62E-05,5.70E-06,0.011918123,0.006744108,0.020278793,0.003990395,8.15E-05
'H',0.007214527,0.991939212,0.013612882,0.901647018,0.002099992,0.07229935,0.563578878,0.458381304,0.000874171,0.970951409,0.000333341,0.036407935,0.016709112,0.000425935,8.09E-05,0.021968499,0.000964645,0.007125175,0.935646847,1.40E-06,6.74E-05,0.010426305,0.001583138,3.84E-05,2.71E-07,0.003818382,0.001973105,0.000167168,0.003388463,1.19E-06,2.29E-05,4.33E-05,0.001948314,0.013998066,0.02432114,0.001215781,0.00014857
'H',0.001899512,0.991411129,0.013207169,0.968296919,0.005925683,0.165984961,0.998008318,0.279235823,0.000452508,0.947080551,0.000717277,0.017894348,0.006175217,7.40E-05,2.54E-05,0.005500132,0.007456799,0.004886329,0.977979764,5.79E-07,0.000360515,0.005922857,0.000493794,6.65E-05,5.96E-08,0.000384363,0.017181957,0.000915234,0.000441224,2.78E-07,2.62E-05,5.70E-06,0.011918123,0.006744108,0.020278793,0.003990395,8.15E-05
'I',0.182552909,0.160040059,0.222476994,0.048496873,0.999096993,0.960472523,0.951877591,0.533326597,0.054936196,0.003963824,0.507122817,0.011052772,8.22E-07,9.91E-05,0.000474977,1.38E-06,0.001090583,0.010662475,9.87E-05,0.708746036,0.310077631,0.000220637,8.90E-06,0.005946252,0.002216708,0.000253246,0.023006525,0.004008749,1.56E-05,0.000268949,0.012264493,0.001017208,0.023663662,0.00031871,0.000172258,0.006217215,0.001606158
'I',0.009021733,0.166880496,0.235694128,0.015522605,0.997402936,0.907783207,0.047879696,0.719014568,0.100386461,0.007108302,0.3212502,0.048457692,5.95E-06,0.00452843,0.00221413,0.000112668,9.48E-05,0.010609717,1.39E-05,0.944550533,0.021904435,0.002164811,0.000216326,0.002475323,0.024270192,0.005851463,0.000354556,6.50E-05,0.002196364,0.017945609,0.038214158,0.021989435,0.001180359,0.001671046,0.000263588,0.000360499,0.008470926
'I',0.182433022,0.155834359,0.215520453,0.048694245,0.999089323,0.959918147,0.951371412,0.538819994,0.054037632,0.00412146,0.508138819,0.011300145,8.18E-07,0.000102892,0.000490061,1.37E-06,0.001088315,0.011073455,9.87E-05,0.712226417,0.313094599,0.000215669,8.46E-06,0.005977088,0.002297882,0.000266379,0.024082507,0.004061121,1.62E-05,0.000265814,0.011763059,0.001000246,0.022883558,0.000324715,0.000173913,0.006010201,0.001568517
'J',0.972396387,0.161021358,0.218177701,0.050160445,0.999111995,0.960204652,0.953605382,0.526649709,0.055318486,0.003913163,0.505628683,0.01122703,8.04E-07,9.94E-05,0.000470279,1.43E-06,0.001147896,0.010653914,0.000103277,0.707443656,0.3142133,0.000226055,9.03E-06,0.006176396,0.002183711,0.000251577,0.023256928,0.004011727,1.57E-05,0.00026224,0.012641712,0.000984064,0.023903074,0.000324145,0.000181664,0.006357035,0.001607258
'J',0.057928893,0.005132397,0.269826269,0.800040012,0.999642079,0.948269823,0.97059852,0.163469372,0.062991429,0.001342895,0.792304807,6.98E-05,2.46E-06,1.24E-06,0.025076986,9.33E-06,0.013862727,0.000803004,0.000100164,0.142576209,0.811528417,0.000745417,1.54E-07,0.007526239,0.000520696,3.79E-05,0.015760719,0.000544475,4.24E-05,7.86E-05,0.027680924,4.98E-05,0.00226933,0.004669102,0.009432422,0.004698063,0.006876329
'J',0.971257606,0.15080784,0.207007108,0.050993703,0.999097319,0.959991877,0.954101352,0.538439731,0.05321731,0.004066737,0.510059501,0.011419161,8.00E-07,0.000104701,0.000506539,1.38E-06,0.001133433,0.011394881,0.000100857,0.714109713,0.322020399,0.000212797,7.99E-06,0.006207944,0.002354966,0.0002751,0.025555379,0.004147337,1.67E-05,0.000257365,0.011495176,0.000951858,0.022386891,0.0003331,0.000182032,0.005955327,0.001550481
'K',0.003296836,0.810247952,0.948857641,0.98612389,0.996887274,0.041254404,0.0544612,0.115039456,0.00714772,0.986933924,0.005895388,0.00026407,0.018622435,2.85E-05,0.011267032,0.003110261,7.86E-05,0.002105353,0.012810501,0.000199404,0.000406079,0.959085172,0.005310353,4.48E-05,2.69E-08,0.000182932,5.42E-07,6.28E-07,0.000884041,0.000112832,0.011626892,0.003820958,0.000110368,0.000114474,0.020466471,0.013989944,0.013309425
'K',0.003646251,0.978640295,0.984905292,0.976372461,0.996772775,1.90E-05,0.011028659,0.14721868,7.93E-06,0.999302823,0.020196138,0.00040658,0.018628033,1.78E-05,0.006066371,0.00361191,2.97E-05,0.001387888,0.017559589,0.000117449,0.000167717,0.957389048,0.01009048,2.08E-05,1.59E-08,0.000176215,1.83E-07,3.19E-07,0.000495034,5.83E-05,0.014147916,0.008016406,0.000104369,0.000142799,0.021923655,0.014448674,0.008201655
'K',0.003776561,0.790803669,0.931528795,0.993466579,0.978982604,0.006417499,0.086608759,0.08149841,0.000822065,0.998447356,0.004426315,0.00023822,0.021922782,2.83E-05,0.012833481,0.003118019,0.000109576,0.002602081,0.018889358,0.000166833,0.000492047,0.963905678,0.005208454,5.72E-05,2.38E-08,0.000206653,7.13E-07,8.72E-07,0.000856453,9.33E-05,0.010566477,0.003211974,0.00012399,0.000117121,0.027170464,0.019202594,0.014068701
'L',0.005895905,0.982347004,0.871715022,0.057869864,0.111711074,0.736446737,0.032500189,0.052071322,0.771219594,0.883811861,0.055863312,0.005842899,4.48E-05,0.006221824,2.74E-06,0.052127893,0.000288408,1.55E-05,0.001550201,6.22E-05,8.00E-07,0.003149773,0.959113255,0.005137077,3.59E-05,3.44E-05,1.44E-07,0.000107613,0.00017106,0.003506138,0.02389693,0.00048051,0.012755859,3.05E-05,7.63E-05,0.004944258,0.024988267
'L',0.005844908,0.981745624,0.856485306,0.019377908,0.044988371,0.498789931,9.46E-05,0.113770747,0.856354925,0.937331214,0.028382447,0.003892787,0.000136452,0.015666337,6.06E-06,0.068034168,0.000242878,3.91E-05,0.004014982,2.48E-05,4.11E-07,0.004215151,0.980373891,0.005107191,3.87E-05,0.000121211,1.01E-07,0.000369594,0.000108563,0.003063317,0.015567381,0.000918256,0.007842748,2.89E-05,9.60E-05,0.008014461,0.011487008
'L',0.004849206,0.999530094,0.829857934,0.000253567,0.018481752,0.575144218,5.83E-05,0.41880366,0.841030112,0.97627065,0.007707154,0.007850188,0.000163268,0.028415756,3.66E-06,0.033792696,5.92E-05,4.99E-05,0.001923255,2.01E-05,1.74E-07,0.001096048,0.947303264,0.001033989,4.81E-05,0.00015452,2.14E-07,0.000325551,0.000168835,0.003217183,0.002674122,0.000883789,0.00473295,2.17E-05,1.51E-05,0.001300311,0.00356299
'M',0.001032725,0.009597096,0.021977238,0.002294843,0.922791361,0.979523602,0.724735936,0.005332391,0.960771874,0.985060172,0.997569297,0.000908489,7.94E-10,0.006383157,0.005518103,0.000113054,0.00616587,0.000265378,1.61E-05,0.007577145,0.001562398,8.60E-05,0.000385064,0.982501466,0.006202551,0.000334913,1.25E-05,0.004205774,1.73E-05,4.28E-06,0.005929283,3.99E-07,3.53E-05,1.61E-06,0.010260168,0.017881884,0.006319168
'M',0.007128767,0.281703561,0.016693812,9.87E-06,0.630168712,0.961212197,0.004326551,0.060483471,0.976600711,0.99718188,0.980051124,0.005250499,3.72E-09,0.032929552,0.002838172,0.011650391,0.000575898,4.43E-05,1.38E-05,0.004075496,2.67E-05,0.000100393,0.015974537,0.951471002,0.034766408,0.00318395,1.88E-07,0.00010333,0.000622074,2.63E-05,0.01058167,4.21E-06,8.60E-06,3.13E-05,0.031810227,0.002539861,0.029938276
'M',0.001831408,0.000589521,0.018718884,0.180209206,0.976064536,0.998785137,0.998278545,0.000297506,0.987679543,0.981802869,0.98947355,0.000283064,6.90E-10,0.00166908,0.006143221,4.62E-05,0.017764087,0.000223517,2.79E-05,0.002569478,0.004982654,6.82E-05,5.74E-05,0.967932025,0.00155721,7.06E-05,5.68E-05,0.009483151,4.89E-06,1.47E-06,0.004416377,8.66E-08,4.18E-05,1.21E-06,0.007836302,0.015466454,0.00170504
'N',0.003413471,0.053188991,0.133996767,0.00659259,0.025655383,0.971980122,0.029063388,0.994782723,0.982437087,0.009883601,0.995892023,0.000312196,1.13E-06,0.01159792,0.004908982,0.001416424,0.00013247,6.95E-05,1.57E-06,0.01876084,0.000150592,1.01E-07,0.000227174,0.019002063,0.964419949,0.012207149,8.17E-05,0.021056523,0.000284507,0.018505842,0.001968865,0.000824225,0.000171428,0.018222023,3.88E-05,2.26E-05,0.001448536
'N',0.003558959,0.057234312,0.136439794,0.001889721,0.009331207,0.92924547,7.58E-05,0.997716457,0.990556648,0.018559901,0.991434898,0.000298039,1.48E-06,0.013613896,0.005734534,0.001688594,0.000122097,7.80E-05,1.83E-06,0.016496322,0.000125685,1.15E-07,0.000289729,0.018909174,0.965747129,0.016071169,6.68E-05,0.022381945,0.000300508,0.019509336,0.001930326,0.001017088,0.000154091,0.0196948,4.40E-05,2.47E-05,0.00145448
'N',0.003413471,0.053188991,0.133996767,0.00659259,0.025655383,0.971980122,0.029063388,0.994782723,0.982437087,0.009883601,0.995892023,0.000312196,1.13E-06,0.01159792,0.004908982,0.001416424,0.00013247,6.95E-05,1.57E-06,0.01876084,0.000150592,1.01E-07,0.000227174,0.019002063,0.964419949,0.012207149,8.17E-05,0.021056523,0.000284507,0.018505842,0.001968865,0.000824225,0.000171428,0.018222023,3.88E-05,2.26E-05,0.001448536
'O',0.45432907,0.125023807,0.227448266,0.050738089,0.143473181,0.003703119,0.092443066,0.998775205,0.100307839,0.671149407,0.069317682,0.018838629,0.041421392,0.144707245,0.005814027,0.000482179,6.40E-05,0.360555055,0.011548382,0.004579375,0.000208092,0.003203847,0.003684826,0.000439534,0.00140858,0.451834961,0.002637806,0.00971906,0.016538117,0.004306696,1.37E-05,0.014504957,0.001125308,0.000903617,0.000177221,0.001334409,0.003346304
'O',0.009899152,0.305604273,0.013283562,0.00144976,0.009237141,0.002828041,0.001135046,0.999847745,0.002200039,0.78094005,0.999821997,0.020015507,0.000915899,0.004805549,0.022833857,0.000149609,1.67E-06,0.048958945,0.003058525,0.001151266,4.04E-05,2.94E-05,0.000371898,0.003677056,0.024385948,0.927530713,9.61E-05,0.001669416,0.005425913,1.07E-05,2.14E-06,0.016532806,7.98E-05,0.009821993,0.01170502,0.004350876,0.011287763
'O',0.097130462,0.027345813,0.037226373,0.142887303,0.11128076,0.065162129,0.000118723,0.994621764,0.071689114,0.398955859,0.462217823,0.008174453,0.010083991,0.029821771,0.03963642,0.000551592,5.66E-05,0.181470311,0.003411039,0.015679026,0.000893345,0.000369884,0.000286031,0.001109596,0.03394902,0.757759034,0.002790257,0.006915257,0.019442066,0.002123211,2.91E-05,0.022719271,0.000374747,0.022093891,0.00171711,0.000917338,0.00552328
'P',0.007266113,0.006822405,0.054898628,0.999952985,0.006634785,0.987933899,0.964751388,0.957186109,0.015859022,0.506500786,0.00223444,0.001580706,0.006216812,0.000658569,0.000312396,0.000292777,0.015715,0.00576155,0.008825594,0.000175507,0.015309715,5.61E-05,3.92E-07,1.85E-05,4.65E-05,0.000131802,0.932650428,0.004364946,0.044522373,0.001078625,1.56E-06,9.32E-07,0.007872245,0.005593396,1.28E-05,4.48E-06,0.000422848
'P',0.007182895,0.006702822,0.054862048,0.99995347,0.006657453,0.987970103,0.964855819,0.957908201,0.015722153,0.504005958,0.002249311,0.001575977,0.006237359,0.00065479,0.000312944,0.000291811,0.015731978,0.005766968,0.008801326,0.00017745,0.015470539,5.58E-05,3.90E-07,1.83E-05,4.70E-05,0.000131835,0.933157132,0.004391092,0.044269003,0.001089167,1.58E-06,9.43E-07,0.007922946,0.005670526,1.28E-05,4.46E-06,0.000420504
'P',0.008325593,0.007924319,0.031513985,0.999967571,0.004315011,0.779034996,0.973496173,0.92805849,0.01066204,0.525539135,0.000152982,0.001173025,0.014511,0.000725889,0.000717971,0.000296906,0.01769392,0.014283767,0.026473123,0.000117178,0.018181361,0.000120304,5.18E-07,2.23E-05,3.39E-05,0.000347313,0.925352254,0.008908226,0.028680527,0.000617934,1.58E-06,1.72E-06,0.00648802,0.006862183,3.34E-05,1.20E-05,0.000309059
'Q',0.005613783,0.09260985,0.658635645,0.003732408,0.01218421,0.030788127,0.844470716,0.998909919,0.768533077,0.274758106,0.141250586,3.47E-05,0.012463472,0.009951131,0.002193834,1.84E-05,0.001170053,0.039733964,0.002916481,0.000352812,0.000928147,5.16E-05,0.001940922,0.000276657,0.002993389,0.003142296,0.011374887,0.951901104,2.77E-06,0.020508196,0.000168802,0.006188348,0.02860096,0.000136123,1.08E-06,0.004736656,7.02E-05
'Q',0.004588664,7.28E-05,0.003617945,0.177543768,0.026595406,0.151365635,0.961242068,0.982410672,0.987921292,0.451862928,0.646439246,5.64E-05,5.69E-05,0.014054862,0.01523707,5.65E-05,0.003598792,0.016382097,0.003240008,7.73E-05,0.001124519,1.69E-06,4.29E-05,0.011318862,0.030892775,0.016621227,0.018315679,0.953421995,3.87E-06,0.000101561,3.84E-05,4.62E-05,0.000527091,0.000584749,7.33E-05,0.001222059,1.01E-05
'Q',0.00375408,0.002607251,0.956469352,0.19752163,0.036905112,0.112942585,0.986326767,0.982937565,0.898998786,0.016207377,0.854871048,1.49E-07,0.002384026,3.55E-05,0.040066057,1.13E-06,0.00031481,0.001356215,5.64E-05,0.000192283,0.003804896,1.35E-06,3.63E-05,0.000291928,0.030479973,0.0006078,0.00161546,0.971487578,6.45E-08,0.007033392,0.000419529,0.011846377,0.009704467,0.000526167,1.53E-06,0.009855943,0.000153528
'R',0.005654772,0.015741208,0.031738646,0.999947637,0.002574381,0.998117309,0.0471388,0.965240271,0.005104614,0.930967303,0.00105098,0.011107976,0.010903606,0.025980739,0.001569642,0.02866541,0.000855634,0.002809731,0.001244575,0.000231142,0.000185285,0.000719411,1.15E-05,5.55E-05,0.000128421,0.003531483,0.043377582,1.27E-05,0.957778985,0.005104382,7.80E-07,1.79E-06,9.46E-05,0.005095279,0.000109033,5.55E-07,0.013182947
'R',0.00739879,0.075939928,0.129979378,0.999947309,0.010158059,0.891402585,0.002539819,0.996761186,3.43E-05,0.914399243,0.005088292,0.006961886,0.024802562,0.016893771,0.002081095,0.023848394,0.000419119,0.002940295,0.00131234,0.000180656,0.000133647,0.001049428,1.72E-05,2.70E-05,9.44E-05,0.004183284,0.019764806,1.19E-05,0.927502777,0.005852033,9.72E-07,5.55E-06,9.08E-05,0.005516696,9.71E-05,7.90E-07,0.011673938
'R',0.004834308,0.008506362,0.061073477,0.999625878,0.007113589,0.991460635,0.036928011,0.925445588,0.010575781,0.976616426,0.000101622,0.009638102,0.011251015,0.026791037,0.001671698,0.030724038,0.000892747,0.002608959,0.001204611,0.00019654,0.000159032,0.00096375,1.52E-05,7.11E-05,0.000100548,0.003224027,0.031835785,1.12E-05,0.960693728,0.005054843,7.75E-07,1.56E-06,8.86E-05,0.003609292,0.000120869,7.03E-07,0.01824146
'S',0.008868952,0.003206334,0.955875583,0.296037815,0.013605761,0.912402903,1.39E-05,0.983537736,0.535365841,0.04572163,0.163959435,4.80E-05,0.011054548,0.003530112,0.001189751,0.000725038,0.000177312,0.000255258,3.60E-06,0.015401288,0.000332356,5.39E-05,0.001390399,3.88E-05,0.040662682,0.000291425,0.000562093,0.003734526,0.003990668,0.923028376,0.001110084,0.010656967,0.009751027,0.00203515,2.33E-07,1.97E-05,0.025896215
'S',0.002859076,0.020755648,0.989895423,0.401863964,0.015064839,0.995981387,0.017623923,0.96402628,0.564221399,0.052604685,0.02153984,4.13E-05,0.015926937,0.00390998,0.000679673,0.001423631,0.000368114,0.00016541,4.16E-06,0.01030072,0.000335825,9.19E-05,0.001467924,2.02E-05,0.017133323,8.92E-05,0.000845491,0.002477377,0.006229993,0.960525983,0.001420948,0.00478629,0.012260892,0.001735096,1.23E-07,8.74E-06,0.020084736
'S',0.009936699,0.003913747,0.950279923,0.306759111,0.014982876,0.899941261,1.66E-05,0.981233667,0.528798971,0.044136686,0.171877818,4.60E-05,0.011666165,0.003248199,0.001322018,0.000728814,0.000176927,0.00026417,3.88E-06,0.014901295,0.000351406,5.59E-05,0.001270638,3.82E-05,0.039714749,0.000312758,0.000565487,0.003657798,0.003986023,0.915774604,0.001100283,0.010914701,0.009220021,0.002246544,2.68E-07,2.05E-05,0.025546299
'T',0.0017998,0.985716922,0.711846778,0.420286132,0.987163353,0.951176995,0.126419815,0.040112539,0.938823244,0.00864674,0.423493319,0.000341592,1.53E-07,4.11E-05,0.000147414,0.010367472,0.000697551,2.59E-06,2.65E-05,0.019601019,0.000567896,0.002783748,0.031786617,0.003117116,0.000630815,2.70E-06,6.66E-08,1.70E-05,1.39E-06,0.002279,0.983919807,0.002973311,0.000949694,0.00136168,0.001131285,0.001381114,0.000602352
